University,University-Country,Exchange-Course-Code,Exchange-Course-Title,HKU-Course-Code,HKU-Course-Title
Monash University,Australia,MGF3681,International management,BUSIxxxx,Elective
Monash University,Australia,MGC1010,Introduction to management,MGMT2401,Principles of management
Monash University,Australia,FNCE20004,Introduction to real estate analysis,FINA2382,Real estate finance
Monash University,Australia,"ETF 2100
",Introductory econometrics,ECON2280,Introductory econometrics
Monash University,Australia,ETC2410,Introductory econometrics,ECON2280,Introductory econometrics (mutually exclusive courses: STAT3614 and STAT3907)
Monash University,Australia,FNCE20003,Introductory personal finance,FINAxxxx,Elective
Monash University,Australia,BFF3121,"Investments and 
portfolio management",FINA2320,Investments and portfolio analysis (mutually exclusive courses: STAT3609 and STAR3952)
Monash University,Australia,ATS1171,Korea introductory 1,N/A,Elective
Monash University,Australia,LAW4130,Law and society theory,LLAW3001,Introduction to legal theory
Monash University,Australia,MGX3991,Leadership principles and practices,MGMT3403,Leadership
Monash University,Australia,ECF 1200,Macroeconomics,ECON1220,Introductory macroeconomics
Monash University,Australia,ECF2331,Macroeconomics and monetary policy,ECONxxxx,Elective
Monash University,Australia,MGX3100,Management ethics and corporate governance,BUSIxxxx,Elective
Monash University,Australia,ECF2731,Managerial economics,ECONxxxx,Elective
Monash University,Australia,MKC3460,Marketing in the Digital Age,MKTGxxxx,Elective (Advanced Level)
Monash University,Australia,MKF2121,Marketing research methods,MKTG3502,Marketing research
Monash University,Australia,MKF1120,Marketing theory and practice,MKTG2501,Introduction to marketing
Monash University,Australia,BFF1300,Money and capital markets,FINA2330,Financial markets and institutions
Monash University,Australia,AFC3340,"Options, financial futures and other derivatives",FINA0301,"Derivatives (mutually exclusive courses: ISME3010, MATH2906, STAT2820, STAT3303 and STAT2812)"
Monash University,Australia,MGC2230,Organisational behaviour,MGMT3405,Organizational behavior
Monash University,Australia,MKC1200,Principles of marketing,MKTG2501,Introduction to marketing
Monash University,Australia,MGC3110,Strategic management,STRA4701,Strategic management
University of Melbourne,Australia,FNCE40002,Advanced investments,FINAxxxx,Elective
University of Melbourne,Australia,ACCT30004,Auditing and assurance services,ACCT3109,Auditing
University of Melbourne,Australia,ECOM30001,Basic econometrics,ECON2280,Introductory econometrics (mutually exclusive courses: STAT3614 and STAT3907)
University of Melbourne,Australia,ECON30019,Behavioral economics,ECONxxxx,Elective
University of Melbourne,Australia,MKTG20006,Brand management,MKTG3512,Brand management
University of Melbourne,Australia,MGMT20005,Business decision analysis,IIMT3636,Decision and risk analysis I
University of Melbourne,Australia,ECON20006,Business economics and e-commerce,ECONxxxx,Elective
University of Melbourne,Australia,IBUS20002,Business in the global economy,N/A,Elective
University of Melbourne,Australia,MKTG20001,Consumer Behaviour,MKTG3501,Consumer behaviour
University of Melbourne,Australia,FNCE20005,Corporate Financial Decision Making,FINA2312.,Advanced corporate finance
University of Melbourne,Australia,ACCT20001,Cost Management,ACCT2105,Introduction to Management Accounting
University of Melbourne,Australia,INFO20003	,Database systems,COMP3278,Introduction to database management systems
University of Melbourne,Australia,FNCE30007,Derivative securities,FINA2322,"Derivatives (mutually exclusive courses:ISME4110, MATH2906, STAT3618, STAT3905 and STAT3910)"
University of Melbourne,Australia,COMP20007,Design of algorithms,COMP2119,Data structure and algorithms
University of Melbourne,Australia,ECON30002,Economic development,ECON0501,Economic development
University of Melbourne,Australia,ECON30018,Economics of the law,ECON2233,The economics of law
University of Melbourne,Australia,ACCT30002	,Enterprise performance management,ACCT3106,Management control
University of Melbourne,Australia,FNCE30006,Entrepreneurial finance,FINA3317,Entrepreneurial finance
University of Melbourne,Australia,GEOG10001,Famine in the modern world,N/A,Elective
University of Melbourne,Australia,ACCT30001,Financial accounting,BUSIxxxx,Elective
University of Melbourne,Australia,FNEC90450,Financial spreadsheeting,FIAN3351,Spreadsheet financial modelling
University of Melbourne,Australia,ECOM20003,Forecasting in economics and business,ECON3283,Economic forecasting
University of Melbourne,Australia,COMP10002	,Foundations of algorithms	,COMP2119,Introduction to data structures and algorithms
University of Melbourne,Australia,COMP10001,Foundations of computing,N/A,Elective
University of Melbourne,Australia,COMP10001,Foundations of computing,N/A,Elective
University of Melbourne,Australia,ISYS10001,Foundations of information systems,IIMT2601,Management information systems
University of Melbourne,Australia,ECON20007,Globalisation and the world economy,ECONxxxx,Elective
University of Melbourne,Australia,ECON20007,Globalisation and the world economy,ECOn2252,Theory of international trade
University of Melbourne,Australia,ECON30008,History of economic thought,ECON2272,History of economic thought
University of Melbourne,Australia,PHYS20008,Human psychology,BIOL3205,Human psychology
University of Melbourne,Australia,ECON20002,Intermediate microeconomics,ECON2210,Intermediate microeconomics
University of Melbourne,Australia,FNCE30003,International finance,ECON2253,International macroeconomics
University of Melbourne,Australia,FNCE30003,International finance,FINA2383,International financial management
University of Melbourne,Australia,ECO30001,International trade policy,ECON2252,Theory of international trade
University of Melbourne,Australia,ACTL10001,Introduction to actuarial studies,STAT2902,Financial mathematics
University of Melbourne,Australia,FNCE20004,Introduction to real estate analysis,FINA2382,Real estate finance
University of Melbourne,Australia,ECON10004,Introductory Microeconomics,ECON1210,"Introductory microeconomics
"
University of Melbourne,Australia,ECON10004,Introductory Microeconomics,ECON1210,Introductory Microeconomics
University of Melbourne,Australia,ECOM20001,Introductory econometrics,ECON2280,Introductory econometrics (mutually exclusive courses: STAT3614 and STAT3907)
University of Melbourne,Australia,ECOM20001	,Introductory econometrics,ECON2280,Introductory econometrics (Mutually exclusive courses: STAT3614 and STAT3907)
University of Melbourne,Australia,ECON10003,Introductory macroeconomics,ECON1220,Introductory macroeconomics
University of Melbourne,Australia,FNCE20003,Introductory personal finance,FINAxxxx,Elective
University of Melbourne,Australia,FNCE20003,Introductory personal finance,FINAxxxx,Elective
University of Melbourne,Australia,FNCE30001,Investments,FINA2320,Investments and portfolio analysis (mutually exclusive courses: STAT3609 and STAT3952)
University of Melbourne,Australia,MAST10007,Linear algebra,MATH2101,Linear algebra I
University of Melbourne,Australia,PHIL 20030,Logical Methods,PHIL2520,Philosophy of logic
University of Melbourne,Australia,MGMT30012,Management consulting,BUSIxxxx,Elective
University of Melbourne,Australia,MKTG20004,Market and business research,MKTG3502,Marketing research
University of Melbourne,Australia,MKTG90026,Marketing Metrics,MKTGxxxx,Elective (Advanced Level)
University of Melbourne,Australia,ECON30020,Mathematical economics,ECON2285,Mathematical economics
University of Melbourne,Australia,MGMT20001,Organisational Behaviour,MGMT3405,Organizational Behaviour
University of Melbourne,Australia,MGMT20001,Organisational behaviour,MGMT3405,Organizational behaviour
University of Melbourne,Australia,PHIL 30053,Philosophy of language,PHIL2610,Philosophy of language
University of Melbourne,Australia,PHIL10002,Philosophy: The big questions,N/A,Elective
University of Melbourne,Australia,FNCE10002,Principles of Finance,FINA1310,Corporate finance
University of Melbourne,Australia,MKTG10001,Principles of Marketing,MKTG2501,Introduction to Marketing
University of Melbourne,Australia,MKTG10001,Principles of marketing,MKTG2501,Introduction to marketing
University of Melbourne,Australia,MKTG30011,Product management,MKTG3526,Innovation and new product development
University of Melbourne,Australia,MKTG30003,Service and relationship marketing,MKTG3525,Services marketing
University of Melbourne,Australia,MAST20005,Statistics,STAT2602,Probability and statistics II
University of Melbourne,Australia,MGMT30013,Strategic management,STRA4701,Strategic management
University of Melbourne,Australia,PHIL 20033,The Philosophy of Mind,PHIL2220,The mind
University of Melbourne,Australia,HIST10008,The World that made US: 1945 to today,N/A,Elective
University of Melbourne,Australia,DEVT10001,The developing world,N/A,Elective
University of Melbourne,Australia,SOCI10001,Understanding society,SOCI1001,Introduction to sociology
University of New England,Australia,FPL350,Behavioural Finance and Investment Portfolio Management,FINA3381,Behavioural finance 
University of New England,Australia,QM265,Business decision making,BUSI0036,Quantitative analysis for business decisions I
University of New England,Australia,MM311,Consumer Behaviour,MKTG3501,Consumer behaviour
University of New England,Australia,FIN102,Financial planning and wealth management,FINAxxxx,Elective
University of New England,Australia,AFM331,Financial statement analysis,FINA1001,Financial statement analysis
University of New England,Australia,AFM304,Financial statement analysis,N/A,Elective
University of New England,Australia,GRMN101,German language 1A,GRMN1001,German I.1
University of New England,Australia,ECON320,Global business and trade,ECON0301,Theory of international trade
University of New England,Australia,MM221,Human resource management,MGMT3434,Human resource: theory & practice
University of New England,Australia,ECON271,Introductory Econometrics,ECON2280,Introductory econometrics
University of New England,Australia,ECON102,Introductory Macroeconomics,ECON1220,Introductory macroeconomics
University of New England,Australia,SPAN101,Introductory Spanish I,SPAN1001,Spanish I.1
University of New England,Australia,PSYC101,Introductory psychology I,PSYC1001,Introduction to psychology
University of New England,Australia,HLTH100,Professional communication,N/A,Elective
University of New South Wales,Australia,COMP3121	,Algorithms and Programming Techniques,COMP3251,Algorithm design 
University of New South Wales,Australia,ACCT3708,Auditing and assurance services,ACCT3109,Auditing
University of New South Wales,Australia,FINS3630,Bank financial management,FINA2331,Management of commercial banks
University of New South Wales,Australia,EON3124,Behavioural economics,ECONxxxx,Elective
University of New South Wales,Australia,FINA3655,Behavioural finance,FINA3381,Behavioral finance
University of New South Wales,Australia,MARK3092	,Brand management ,MKTG3512,Brand management 
University of New South Wales,Australia,FINS1613,Business Finance,FINA1310,Corporate finance (Mutually exclusive courses: STAT3904)
University of New South Wales,Australia,ACCT3610,Business analysis and valuation,ACCT3114,Valuation using financial statements
University of New South Wales,Australia,ECON1203,Business and Economic Statistics,ECON1280,Analysis of Economic Data
University of New South Wales,Australia,MGMT3001,Business and corporate strategy,STRA4701,Strategic management
University of New South Wales,Australia,INFS1603,Business databases,IIMT3601,Database management
University of New South Wales,Australia,ECON2209,Business forecasting,ECON2283,Economic forecasting
University of New South Wales,Australia,FINS1612,Capital markets and institutions,FINA2330,Financial markets and institutions
University of New South Wales,Australia,ARTS2363,Chinese philosophy,PHIL2430,Chinese philosophy: ethics
University of New South Wales,Australia,MARK2051  	,Consumer Behaviour,MKTG3501,Consumer Behaviour
University of New South Wales,Australia,CRIM1010,Criminology: an introduction,SOCI2071,Criminology
University of New South Wales,Australia,COMP3311	,Database Systems,IIMT3601,Database management
University of New South Wales,Australia,ARTS1480,French 1,FREN1001,French I.1
University of New South Wales,Australia,ECON2112,Game theory and business strategy,ECON2214,Games and decisions (mutually exclusive course: STRA3709)
University of New South Wales,Australia,MGMT1101,Global business environment,STRA3702,International business
University of New South Wales,Australia,ARTS1062,"Hollywood film: industry, technology, aesthetics",N/A,Elective
University of New South Wales,Australia,FINS3636,Interest Rate Risk Management,FINA3323,Fixed Income Securities
University of New South Wales,Australia,FINS2615,Intermediate Business Finance,FINA1310,Corporate Finance
University of New South Wales,Australia,MARK2071,International & global marketing,MKTG3523,Global marketing
University of New South Wales,Australia,FINS3650,International banking,FINAxxxx,Elective (Advanced Level)
University of New South Wales,Australia,FINS3616,International business finance,FINA2383,International financial management
University of New South Wales,Australia,ECON3104,International macroeconomics,ECON2253,International macroeconomics
University of New South Wales,Australia,AVEN1920,Introduction to aircraft engineering,MECH3416,Fundamentals of aeronautical engineering 
University of New South Wales,Australia,ECON2111,Introduction to economic development,ECON2262,Economic development
University of New South Wales,Australia,ARTS1660,Introductory Korean A,KORE1001,Korean I.1
University of New South Wales,Australia,ECON2206,Introductory econometrics,ECON2280,Introductory econometrics
University of New South Wales,Australia,ARTS1630	,Japanese 1 ,JAPNxxxx,Elective (Introductory Level)
University of New South Wales,Australia,TABL2009,"Law of companies, trusts and partnerships",N/A,Elective
University of New South Wales,Australia,ECON2102,Macroeconomics 2,ECON2220,Intermediate macroeconomics
University of New South Wales,Australia,ECON1102,Macroeconomics I,ECON1220,Introductory macroeconomics
University of New South Wales,Australia,ACCT3583,Management accounting 2,ACCT3106,Management control
University of New South Wales,Australia,MGMT1001,Managing Organisations and People,MGMT2401,Principles of management
University of New South Wales,Australia,MANF3610,Manufacturing operations,BUSI0036,Quantitative analysis for business decisions I
University of New South Wales,Australia,MARK2012,Marketing Fundamentals,MKTG2501,Introduction to Marketing
University of New South Wales,Australia,MARK1012,Marketing fundamentals,MKTG2501,Introduction to marketing
University of New South Wales,Australia,MARK2052,Marketing research,MKTG3502,Marketing research
University of New South Wales,Australia,ARTS1091,"Media, society, politics",N/A,Elective
University of New South Wales,Australia,ECON1101,Microeconomics 1,ECON1210,Introductory Microeconomics
University of New South Wales,Australia,ECON2101,Microeconomics 2,ECON2210,Intermediate microeconomics
University of New South Wales,Australia,MGMT3721,Negotiation skills,N/A,Elective
University of New South Wales,Australia,MGMT3721,Negotiation skills,BUSI2811,Negotiation And Conflict Resolution
University of New South Wales,Australia,COMP2511	,Object-Oriented Design and Programming,COMP2396,Object-oriented Programming and Java
University of New South Wales,Australia,FINS3635,"Options, futures and risk management",FINA2322,Derivatives
University of New South Wales,Australia,"GENC3004	
",Personal Finance,FINAxxxx,Finance elective (advanced)
University of New South Wales,Australia,FINS2624,Portfolio management,FINA2320,Investments and portfolio analysis (mutually exclusive courses: STAT3609 and STAT3952)
University of New South Wales,Australia,PSYC1001,Psychology 1A,PSYC1001,Introduction to psychology
University of New South Wales,Australia,ECON1202	,Quantitative Analysis for Business and Economics,IIMT3636,Decision and risk analysis I
University of New South Wales,Australia,MATH2881,Quantitative risk,STAT3320,Risk management and basel accords in banking finance
University of New South Wales,Australia,MARK2055,Service marketing & management,MKTG3525,Services marketing
University of New South Wales,Australia,MATH1041,Statistics for Life and Social Sciences,ECON1280,Analysis Of Economic Data
University of New South Wales,Australia,ACTL2003,Stochastic modeling for actuaries,STAT2303,Probability modeling
University of New South Wales,Australia,MARK3082,Strategic marketing,MKTG3531,Strategic marketing management
University of New South Wales,Australia,GENC6003,Tourism: the global future,N/A,Elective
University of New South Wales,Australia,FINS2643 ,Wealth Management and Client Engagement ,FINAxxxx,Elective (Advanced Level)
University of Queensland,Australia,ECON1110,Australian economic institutions,ECONxxxx,Elective
University of Queensland,Australia,MARS2005,Australian's marine environment,N/A,Elective
University of Queensland,Australia,FINM3404,Banking & lending decisions,FINA2331,Management of commercial banks
University of Queensland,Australia,ECON2060,Behavioural and evolutionary economics,ECONxxxx,Elective
University of Queensland,Australia,MKTG2508,Brand management and strategy,BUSI3512,Marketing competency through branding
University of Queensland,Australia,ECON2500,"China: emergence, implications & challenges",ECONxxxx,Elective
University of Queensland,Australia,MKTG2501,"Consumer Behaviour
",MKTG3501,Consumer behaviour
University of Queensland,Australia,ECON2510,Development economics,ECON0501,Economic development
University of Queensland,Australia,ACCT3102,External reporting issues,BUSIxxxx,Business elective
University of Queensland,Australia,ECON2610,International economy in the Twentieth century,ECONxxxx,Elective
University of Queensland,Australia,ECON3510,International trade theory and policy,ECON0301,Theory of international trade
University of Queensland,Australia,CSSE2010,Introduction to computer systems,CSIS1120,Computer organization
University of Queensland,Australia,PSYC1030,"Introduction to psychology: development, social & clinical psychology",PSYC1001,Introduction to psychology
University of Queensland,Australia,SOCY1050,Introduction to sociology,SOCI1001,Introduction to sociology
University of Queensland,Australia,DECO1400,Introduction to web design,CSISxxxx,Elective
University of Queensland,Australia,ECON2300,Introductory econometrics,ECON2280,"Introductory econometrics (mutually exclusive courses: STAT3614 and STAT3907)
"
University of Queensland,Australia,ECON2300,Introductory econometrics,ECON0701,Introductory econometrics (mutually exclusive courses: STAT2314 and STAT2804)
University of Queensland,Australia,ECON1020,Introductory macroeconomics,ECON1002,Introduction to economics II
University of Queensland,Australia,FINM3402,Investment & portfolio management,FINA2802,Investments and portfolio analysis (mutually exclusive courses: STAT2309 and STAT3806)
University of Queensland,Australia,FINM3402,Investments and portfolio management,FINA2802,Investments and portfolio analysis
University of Queensland,Australia,ECON2020,Macroeconomic theory,ECON2102,Macroeconomic theory
University of Queensland,Australia,MKTG3501,Marketing strategy,BUSIxxxx,Elective
University of Queensland,Australia,FINM1401,Personal wealth management,FINAxxxx,Elective
University of Queensland,Australia,MKTG2505,Product and service management,BUSIxxxx,Elective
University of Queensland,Australia,CSSE2002,Programming in the large,CSIS0396,Object-oriented programming and Java
University of Queensland,Australia,INFS2200,Relational database systems,CSIS0278,Introduction to database management systems
University of Queensland,Australia,KORN1010,Spoken Korean 1A,KORE1001,Korean I.1
University of Queensland,Australia,ECON2070,Strategic thinking,ECON2214,Games and decisions
University of Queensland,Australia,INFS3222,Systems analysis & design,BUSI0059,Information system analysis and design
University of Queensland,Australia,ECON2800,The economics of labor markets,ECON0103,Economics of human resources
University of Queensland,Australia,ECON1120,The economics of social issues,ECONxxxx,Elective
University of Queensland,Australia,INFS3202,Web information systems,BUSI0063,Internet applications and development
University of Queensland,Australia,INFS3202,Web information systems,CSIS0322,Modern technologies on the world wide web
University of Western Australia,Australia,ECON2260,ASEAN economic history,ECONxxxx,Elective
University of Western Australia,Australia,FINA3326,Applied financial management,FINA2383,International financial management
University of Western Australia,Australia,ECON3303,Applied macroeconomics,ECONxxxx,Elective
University of Western Australia,Australia,VISA1050,Art of visualisation & recording,N/A,Elective
University of Western Australia,Australia,ECON2203,Asia in the world economy,ECONxxxx,Elective
University of Western Australia,Australia,ACCT3322,Auditing,ACCT3109,Auditing
University of Western Australia,Australia,ANTH2407,"Australian society, facts and fantasies",N/A,Elective
University of Western Australia,Australia,FINA2207,Business analysis and valuation,FINA1001,Financial statement analysis
University of Western Australia,Australia,FINA2207,Business analysis and valuation,FINA3321,Financial statement analysis
University of Western Australia,Australia,ECON2271,Business econometrics,ECON2280,Introductory econometrics (mutually exclusive courses: STAT3614 and STAT3907)
University of Western Australia,Australia,ECON2245,Business economics,ECONxxxx,Elective
University of Western Australia,Australia,COMM1901,Communication in practice,N/A,Elective
University of Western Australia,Australia,MKTG1204,Consumer behaviour,MKTG3501,Consumer behaviour
University of Western Australia,Australia,ACCT2201,Corporate accounting,N/A,Elective
University of Western Australia,Australia,FINA2222,Corporate financial policy,FINA2312,Advanced corporate finance
University of Western Australia,Australia,LAWS3322,Corporate law,BUSIxxxx,Elective
University of Western Australia,Australia,LAWS1110,Crime and society,N/A,Elective
University of Western Australia,Australia,COMM1002,"Cultures, new media and communications",N/A,Elective
University of Western Australia,Australia,FINA2204,Derivative products and markets,FINA2322,"Derivatives (mutually exclusive courses: ISME4110, STAT3618, STAT3905 and STAT3910)"
University of Western Australia,Australia,FINA3306,Derivative strategies and pricing,FINA2322,"Derivatives (mutually exclusive courses: ISME4110, STAT3618, STAT3905 and STAT3910)"
University of Western Australia,Australia,ECON3220,Development economics,ECON2262,Economics development
University of Western Australia,Australia,COMM2002,Digital media,N/A,Elective
University of Western Australia,Australia,ARCY1001,Discoveries in archaeology,N/A,Elective
University of Western Australia,Australia,MGMT5506,Ethics and sustainability management,N/A,Elective
University of Western Australia,Australia,EART2232,Field geology,N/A,Elective
University of Western Australia,Australia,FINA2209,Financial planning,N/A,Elective
University of Western Australia,Australia,FINA2209,Financial planning,FINAxxxx,Elective
University of Western Australia,Australia,ACCT3302,Financial statement,ACT3114,Valuation using financial statement
University of Western Australia,Australia,ACCT3302,Financial statement analysis,FINA3321,Financial statement analysis
University of Western Australia,Australia,ECON3301	,Game theory and strategic thinking,ECON2214,Games and decisions (mutually exclusive course: STRA3709)
University of Western Australia,Australia,GRMN1401,German studies I,GRMN1001,German I.1
University of Western Australia,Australia,ECON3205,Health economics,ECONxxxx,Elective
University of Western Australia,Australia,ECON3310,History of Economic Thought,ECON2272,History of economic thought
University of Western Australia,Australia,BUSN3020,Innovation and startup practice,N/A,Elective
University of Western Australia,Australia,ECON3272,Intermediate mathematics for economics,ECON2284,Mathematics methods in economics
University of Western Australia,Australia,ECON3236,International finance,FINA2383,International financial management
University of Western Australia,Australia,ECON3235,International trade,ECON2252,Theory of international trade
